File: ,IHME_USA_MMR_STATE_RACE_ETHN_1999_2019_ESTIMATES_COLLAPSED_Y2023M07D03.CSV,,,,,,,,,,,,,,
Variable:,measure_id,measure_name,location_id,location_name,race_group,sex_id,sex_name,age_group_id,age_group_name,year_id,metric_id,metric_name,val,upper,lower
Label:,Measure ID,Measure Name,Location ID,Location Name,Racial and Ethnic Group,Sex ID,Sex Name,Age Group ID,Age Group Name,Year ID,Metric ID,Metric Name,Value,95% Uncertainty Interval (Upper Bound),95% Uncertainty Interval (Lower Bound)
Value Coding:,25,Maternal mortality ratio,523,Alabama,Hispanic and any race,2,Female,169,10 to 54,1999-2009,3,Rate,,,
,,,524,Alaska,Non-Hispanic American Indian and Alaska Native,,,,,2010-2019,,,,,
,,,525,Arizona,"Non-Hispanic Asian, Native Hawaiian, or Other Pacific Islander",,,,,,,,,,
,,,526,Arkansas,Non-Hispanic Black,,,,,,,,,,
,,,527,California,Non-Hispanic White,,,,,,,,,,
,,,528,Colorado,,,,,,,,,,,
,,,529,Connecticut,,,,,,,,,,,
,,,530,Delaware,,,,,,,,,,,
,,,531,District of Columbia,,,,,,,,,,,
,,,532,Florida,,,,,,,,,,,
,,,533,Georgia,,,,,,,,,,,
,,,534,Hawaii,,,,,,,,,,,
,,,535,Idaho,,,,,,,,,,,
,,,536,Illinois,,,,,,,,,,,
,,,537,Indiana,,,,,,,,,,,
,,,538,Iowa,,,,,,,,,,,
,,,539,Kansas,,,,,,,,,,,
,,,540,Kentucky,,,,,,,,,,,
,,,541,Louisiana,,,,,,,,,,,
,,,542,Maine,,,,,,,,,,,
,,,543,Maryland,,,,,,,,,,,
,,,544,Massachusetts,,,,,,,,,,,
,,,545,Michigan,,,,,,,,,,,
,,,546,Minnesota,,,,,,,,,,,
,,,547,Mississippi,,,,,,,,,,,
,,,548,Missouri,,,,,,,,,,,
,,,549,Montana,,,,,,,,,,,
,,,550,Nebraska,,,,,,,,,,,
,,,551,Nevada,,,,,,,,,,,
,,,552,New Hampshire,,,,,,,,,,,
,,,553,New Jersey,,,,,,,,,,,
,,,554,New Mexico,,,,,,,,,,,
,,,555,New York,,,,,,,,,,,
,,,556,North Carolina,,,,,,,,,,,
,,,557,North Dakota,,,,,,,,,,,
,,,558,Ohio,,,,,,,,,,,
,,,559,Oklahoma,,,,,,,,,,,
,,,560,Oregon,,,,,,,,,,,
,,,561,Pennsylvania,,,,,,,,,,,
,,,562,Rhode Island,,,,,,,,,,,
,,,563,South Carolina,,,,,,,,,,,
,,,564,South Dakota,,,,,,,,,,,
,,,565,Tennessee,,,,,,,,,,,
,,,566,Texas,,,,,,,,,,,
,,,567,Utah,,,,,,,,,,,
,,,568,Vermont,,,,,,,,,,,
,,,569,Virginia,,,,,,,,,,,
,,,570,Washington,,,,,,,,,,,
,,,571,West Virginia,,,,,,,,,,,
,,,572,Wisconsin,,,,,,,,,,,
,,,573,Wyoming,,,,,,,,,,,
